M.S. Information Technology Management,,,,
ITEC 6500,C948,Technical Communication,3,1
ITIM 5530,C954,Information Technology Management,3,1
INTE 5300,LZT2,"Power, Influence and Leadership",3,1
ITIM 6510,C928,Financial Management for IT Professionals,2,2
ITIM 6520,C929,IT Sourcing and Development in a Global Economy,2,2
ITIM 6500,C927,Managing Technology Operations and Innovation,3,2
ITEC 6400,MBT2,Technological Globalization,3,2
ITEC 5320,C783,Project Management,4,3
INTE 5200,C962,Current and Emerging Technology,3,3
ITEC 6901,C498,"MS, Information Technology Management Capstone",4,3
