MBA Information Technology Management,,,,
MGMT 5000,C200,Managing Organizations and Leading People,3,1
ITM 5000,MGT2,IT Project Management,3,1
HRM 5010,C202,Managing Human Capital,3,1
MKTG 5000,C212,Marketing,3,2
ITM 6000,MMT2,IT Strategic Solutions,4,2
ACCT 5000,C213,Accounting for Decision Makers,3,2
MGMT 6000,C206,Ethical Leadership,3,3
FINC 6000,C214,Financial Management,3,3
MGMT 6010,C207,Data-Driven Decision Making,3,3
ECON 5000,C211,Global Economics for Managers,3,4
ITM 6900,C218,"MBA, Information Technology Management Capstone",4,4
