M.A. Science Education (Secondary Earth Science),,,,
SCIE 5408,C670,Concepts in Science,1,1
CHEM 5107,C833,Chemistry with Lab,3,1
PHYS 5100,RNT2,General Physics,3,1
GEOS 5101,C650,Geology I: Physical,3,1
EDUC 5409,C389,"Science, Technology, and Society",2,2
GEOS 5103,C893,Geology II: Earth Systems,3,2
GEOS 5102,C891,Ecology and Environmental Science,2,2
GEOS 5104,C895,Astronomy,2,2
EDUC 5511,C266,The Ocean Systems,3,3
GEOS 6405,C618,Earth Science: Content Knowledge,1,3
EDUC 5046,C978,Science Methods—Secondary Earth Science,3,3
EDUC 6264,C871,"MA, Science Education Teacher Performance Assessment",6,3
