M.A. Science Education (Secondary Chemistry),,,,
SCIE 5408,C670,Concepts in Science,1,1
SCIE 5020,C908,Integrated Physical Sciences,2,1
CHEM 5409,C672,General Chemistry I with Lab,3,1
CHEM 5410,C673,General Chemistry II with Lab,3,1
MATH 5350,RXT2,Precalculus and Calculus,2,2
CHEM 5310,BVT2,Physical Chemistry,2,2
CHEM 5300,BWT2,Inorganic Chemistry,2,2
EDUC 5409,C389,"Science, Technology, and Society",2,2
CHEM 5250,AIT2,Organic Chemistry,2,3
SCIE 5501,C625,Biochemistry,2,3
EDUC 5512,C267,Climate Change,3,3
CHEM 6405,C617,Chemistry: Content Knowledge,1,3
EDUC 5045,C977,Science Methods—Secondary Chemistry,3,4
EDUC 6264,C871,"MA, Science Education Teacher Performance Assessment",6,4
